降龙十八掌（HD）,265
快速问医生,138
商业帝国HD,100
携程.无线-机票.酒店.旅游.火车票.点评.门票.特价.无线,100
only-self,32
降龙HD,25
淘打折(淘宝优惠),20
永恒魔塔HD,20
经营游乐场HD,20
天之刃HD,20
用药安全,10
时尚,5
Ice Age Village,2
Toy Defense HD Free,1
巴拉拉小魔仙-FREE,1
PPS影音,1
反恐突击队 Gun Strike,1
Tuding,1
Zombie Hunting,1
糗事精华 - 17000条离线精选糗事,1
iSwifter Flash Web Browser,1
豆瓣FM for iPad,1
波克斗地主,1
Lumi Lite HD,1
Marvel KAPOW! HD,1
QQ浏览器HD,1
巅峰狂飙,1
Mole's World,1
百思不得姐,1
食神摇摇,1
微博 HD,1
Smurfs' Village,1
内涵漫画（精编版）,1
Asphalt 6: Adrenaline,1
开心水族箱,1
Draw Something Free,1
Office Assistant Pro - Full-Featured Mobile Office Suite,1
